,Unnamed: 0,headers,text,T5 finetuned model (unclean text),T5 finetuned model (chunked text),question,MCQ,Column2,Column1,T5 finetuned model (unclean text): Multitask QA_QG Base Model,T5 finetuned model (unclean text): Multitask QA_QG Small Model,T5 finetuned model (unclean text): End To End Small Model
41,41,Is document classification really,,,,,[],,,,,['What is nan?']
42,42,necessary?,"One of the best practices in information security is for an organisation toclassify documents into different levels of privacy and confidentiality.It canthen accord an appropriate level of security measures to each classification.Typical classifications include “UNCLASSIFIED”, “RESTRICTED”,“CONFIDENTIAL”, and even “STAFF-IN-CONFIDENCE”.Of course, an organisation must ensure that the classification is markedclearly on each document so that employees are alerted to it and know whichsecurity measures to apply.Reasons for not marking documents with their classificationMost organisations do, at least tacitly, divide their documents into those thatthey consider confidential within the organisation (or confidential to, forexample, HR employees) and those that may be shared with the generalpublic.It’s the additional step of marking them with their classification thatraises resistance.This is because a number of our client organisations havenot implemented any classification scheme since the day the organisation wasestablished.To do so now would be an extremely tedious and time-consuming task.We often hear from our clients statements such as thefollowing being used to justify their non-action: “Almost all our documentsare confidential.Instead of stamping the word ‘CONFIDENTIAL’ across allour files and documents, can’t we just assume everything is confidential andinform our employees about it?Besides, classifying our files and documentsinvites more curiosity – people would tend to peek into files marked‘CONFIDENTIAL’ and leave unmarked files alone.”This is hardly the hallmark of a well-run organisation.Or something thatwould engender trust among the organisation’s customers or clients if it wereknown publicly.The consequences of not classifying documentsThe statements made by employees, such as the one above, may soundsensible and sometimes even convincing.But accepting them could lead tothe following situations:■■The tendency to over-classify documentsThis means treating all documents as “CONFIDENTIAL” when some ofthem are obviously not.This is especially confusing when documents thatare meant for public consumption are, as a blanket rule, marked as“CONFIDENTIAL”.And it devalues the integrity of documents thatshould really be classified as “CONFIDENTIAL”.The tendency to assume access to documents is permittedBecause there is no distinct delineation on who can have access to whatinformation, all employees assume they can have access to any documentin the organisation.Best practices adopted by most organisations ensure that highlyconfidential and sensitive information, such as HR and Financedocuments, are restricted to a small group of employees only (based onjob roles or “need to know” basis).Organisations should similarly restrict access to customer, client or■other documents.The dangers of employee turnoverDue to turnover, new employees may not be aware of the organisation’spolicies and practices, particularly if they are not sufficiently briefedabout the way to treat various categories of documents.Classifying documents helps indicate that the organisation does have■an agreed set of principles linked to information classification.Classifications that are self-explanatory are helpful.And the dangers of faulty memoriesOver time, the appropriate level of security measures meant forconfidential documents could be eroded because employees tend toforget what is required.The word “CONFIDENTIAL” on a document is a good visualreminder of the need to treat and handle confidential documents with theright level of security.When driving on public roads, visual cues in theform of traffic signs remind us not to speed, not to overtake, not to do aU-turn, even though we are supposed to know these things.The cost-benefit analysisWhen an organisation adopts document classification, agreeing on theclassifications and the security measures attaching to them is a one-time setof policy decisions.It’s followed by a one-time administrative effort to addthe classification to existing documents.Stamping existing paper documentsso that they include the correct classifications is relatively easy onceorganisation personnel are trained to use the correct classification.Andadding a classification to any other documents they produce in future is rarelyonerous once they get into the habit of doing it.But the benefits of document classification are significant.The risksmentioned above are avoided.Employees are constantly reminded to handleconfidential documents and files with the right level of information security.Employment contracts and handbooks generally require employees tocomply with the organisation’s policies and practices and to maintain theconfidentiality of the organisation’s documents.The organisation usually hasa right to apply disciplinary consequences – a verbal warning, a writtenwarning, or termination for cause – where employees fail to comply withthese requirements.Employees caught mishandling or misusing confidential informationcannot claim ignorance about the status of the documents if theirclassification is clearly marked on them.But if there is no documentclassification scheme and the status of documents isn’t marked on them, theorganisation may not be able to take any action against recalcitrantemployees.CHECKLIST OF GOOD PRACTICESOrganisations should adopt the following practices when handling confidential documents:■■■■Have a document classification scheme so that the appropriate level of confidentialityand protection can be accorded to each type of document.Clearly mark all documents with their classification status.Do not over-classify documents.Restrict employees’ access to classified documents based on job roles or “need toknow” basis.■ Train new employees on the organisation’s policies and practices in handling classifieddocuments.05",,," What is one of the best practices in information security?
","[{'answerText': 'To classify documents into different levels of privacy and confidentiality', 'questionText': ' What is one of the best practices in information security?', 'distractors': ['To treat all documents as “CONFIDENTIAL”', 'To mark all documents with their classification', 'To set up a classification scheme', 'To set up a classification scheme for employees']}]",,,"[{'answer': 'privacy and confidentiality', 'question': 'What are two levels of classification that an organisation must classify documents into?'}]","[{'answer': 'privacy and confidentiality', 'question': 'What is one of the best practices in information security?'}]","['What is one of the best practices in information security?', 'What can an organisation do to classify documents into different levels of privacy and confidentiality?', 'Which classifications include UNCLASSIFIED, CONFIDENTIAL, and even “STAFF-IN-CONFIDENCE”?']"
43,43,You can delegate the task but not the,,,,,[],,,,,['What is nan?']
44,44,responsibility,"Incident #11Complaint: Hundreds of customers of a leading bank complained that theyreceived someone else’s private and confidential bank statements.Therecipient’s address on the envelope was correct but the name was wrong.When they opened the envelope they discovered that the bank statement wasnot theirs.It was meant for the customer whose name was on the envelope.Cause: The mistakes were made by a printing company to which thebank outsourced the printing and mailing of its bank statements.It was due toa misalignment by the printing company of the name and address columns ofthe customer list provided by the bank.Incident #22Complaint: Thousands of individuals complained that they could not do e-trade of shares on the company’s online portal as it was down for almost sixhours.Lost opportunity in e-trades for these individuals amounted to a fewmillion dollars.Cause: The computerised system was developed, operated andmaintained by the IT division of the company.The IT division (a cost centre)was subsequently spun off as a separate company.The new IT company, nowoperating as a profit centre, implemented significant cost-cutting measures.There were minimal provisions for contingencies and IT service continuity.Incident #33Complaint: Thousands of customers of an organisation complained that theiruser IDs and passwords had been hijacked to send out spam messageswithout their knowledge.They discovered this only after recipients of thespam messages complained to them.Cause: Someone hacked into the servers of the cloud service providerthat hosted the organisation’s web portal.Almost the entire database of userIDs and passwords of their client organisation was stolen.Incident #44Complaint: Hundreds of members of the public complained to a real estatecompany that they had been contacted on their mobile phones with marketingmessages.They had previously registered their phone numbers with thenational Do-Not-Call (DNC) registry.Cause: An independent agent of the company flouted the DNC policy andrules of the company and contacted the individuals.The organisation carries the responsibility for its vendors and other third-partiesIn the four incidents cited above, what is the common element?In all four,customers and members of the public complained to the organisationsdirectly even though the faults and mistakes were caused by an outsourcedcompany, a spun-off company, a hosting service provider or an independentagent.This goes to show that even though an organisation has delegated oroutsourced its tasks to a third-party, it still has to bear responsibility ifanything goes wrong.In addition to any regulatory penalties arising from a mistake by a vendoror other third-party, the organisation’s reputation and goodwill among itscustomer base and in its community may suffer.Damage to the reputation andgoodwill of an unidentified vendor or other agent will be little or none.Afterall, customers and the public recognise and identify with only theorganisation’s name.Therefore it is important for the organisation to minimise the likelihoodand extent of risks arising from the actions or inaction of its vendors andother third-parties carrying out tasks or operations delegated to them.Theselection of vendors and other third-parties is thus of prime importance.Achieving a shared understanding of responsibilities and obligationsThe first thing an organisation should do before it delegates or outsourcestasks or operations is to draw up a list of responsibilities and obligations ofboth the organisation and the vendor or other third-party.This is to achieve ashared understanding of respective roles and responsibilities – that is, toavoid any misunderstanding or finger-pointing and to minimise the risk ofanything going awry.These responsibilities and obligations should be included in a writtenagreement between the organisation and the vendor or other third-party.Executing the agreement shows that they are agreed and accepted by both theorganisation and the vendor or other third-party.Rather than relying onCourt-determined damages arising from any breach of the agreement, theagreement will typically include a contractual indemnity or specifycompensation due to be paid to the organisation if the vendor or other third-party breaches the agreement.Achieving a shared understanding of operational aspectsThe second thing an organisation should do when it delegates or outsourcestasks or operations is to determine operational aspects of the arrangementthat are relevant in the circumstances.These may include things such as thefollowing:■■■■the service levels that the organisation expects of the vendor or otherthird-partykey performance indicators (KPIs) to be reported by the vendor or otherthird-party to the organisation regularlythe vendor’s or other third-party’s procedures in handling incidents whenthey occur andthe vendor’s or other third-party’s critical operations and contingencyplans to deal with any interruption to them.Initial and continuing due diligenceAs an obvious good practice, before selecting a vendor or other third-party,an organisation should audit their processes and procedures for operationalcapability, including their ability to comply with the data protection law.The organisation may consider some or all of the delegated or outsourcedtasks or operations to be critical to its reputation and success.If so, theorganisation should insist on a feedback process under which the vendor orother third-party warns the organisation of any signs of impending incidentsor faults before they occur.Much as the organisation would like to have close and tight supervisionof how the vendor or other third-party is performing, it may not have theresources to do so.Or there may be practical barriers, such as where thevendor or other third-party is located overseas.In any case, appropriate KPIs are critical.The frequency and detail ofreporting performance against them is also critical.And, it should go withoutsaying, an organisation should review KPI reports carefully and take actionin connection with any actual or threatened shortfalls.All too often, we seecases where reports are simply filed and looming problems are not identifiedby the organisation.The optimal outcomeEventually, mutual trust between an organisation and its vendors and otherthird-parties ensures a long-standing, good working relationship.But it isinvariably built on the bedrock of:■■■a good understanding by an organisation of its vendors’ and other third-parties’ capabilities, strengths and weaknesses through initial duediligence by the organisationa shared understanding of each party’s responsibilities and obligationsthat are recorded by setting them out clearly in the agreement between theparties, andappropriate KPIs that are reported properly and where action is takenearly to remediate any potential problems.CHECKLIST OF GOOD PRACTICESOrganisations should adopt the following practices when they delegate or outsource theirtasks to third-parties:■■■■Choose a trusted and reliable third-party.Include a list of responsibilities and obligations in the contracts, as well as the indemnityor compensation to be paid if the third-party contravenes any of the terms andconditions.Include expected service levels, incident handling procedures and contingency plans forcritical operations in the contracts.Audit the third-party’s processes and procedures if the tasks or operations are critical tothe reputation and success of the organisation.■■Have a feedback process for the third-party to pre-warn the organisation of anyimpending incident or fault.Have key performance indicators (KPIs) for the third-party to track and report back to theorganisation regularly.1234There were several enforcement cases involving statements sent to the wrong recipient.Breach of the Protection Obligation by NTUC Income (3 May 2018) and Toh Shih Printing (21Jul, 21 Sep 2016).https://www.pdpc.gov.sg/Commissions-Decisions/Data-Protection-Enforcement-CasesDitto.Modified from an actual incident.Ditto.06",,," What did the customer complain about?
","[{'answerText': 'Thousands of customers of a leading bank complained that theyreceived someone else’s private and confidential bank statements', 'questionText': ' What did the customer complain about?', 'distractors': ['Thousands of customers of an organisation complained that theiruser IDs and passwords had been hijacked to send out spam messages', 'Thousands of members of the public complained that theiruser IDs and passwords had been hijacked to send out spam messages without their knowledge', 'Hundreds of members of the Thousands of customers of an organisation complained that theiruser IDs and passwords had been hijacked to send out spam messages']}]",,,"[{'answer': 'Hundreds', 'question': 'How many customers of a leading bank complained that they received someone else’s private and confidential bank statements?'}]","[{'answer': 'Hundreds of customers of a leading bank complained that theyreceived someone else’s private and confidential bank statements', 'question': ""What did Hundreds of customers of a leading bank complain that theyreceived someone else's private and confidential bank statements?""}]","['What was the name of a bank that complained about theiruser IDs and passwords?', 'When did a real estate company open the envelope they discovered that the bank statement was not theirs.', 'What did the printing company outsourced the printing and mailing of its bank statements?', 'What was a cost centre that was spun off as a separate company?']"
45,45,We don’t get any complaints so that’s,"good, right?Well, maybe not.A data protection law generally gives a regulator powers:■■to send auditors or investigators out to visit organisations and check ontheir compliance with the law andto receive complaints from individuals about a possible failure to complywith the law and then to investigate itWhere the regulator elects to do only the latter, the regime is said to be a“complaints-based regime”.In fact, it is a “complaints-based enforcementmodel” for so long as the regulator elects not to adopt the more proactive –and resource-intensive – audit model.It is very easy to think that no complaints to an organisation means that itsclients do not have anything that they feel like complaining about to it andtherefore there is little or no risk of a complaint about data protection to theregulator.But maybe “no complaints received” or, more accurately, “nocomplaints recorded as having been received” could mean the organisationdoesn’t have a complaints process that is working well.For example,individuals might be complaining to frontline employees and they are dealingwith them.Maybe well; maybe not – sometimes even simply brushing themaside.Where the complaints are about data protection, that is a sure-firerecipe for the complaints to be escalated to the regulator.The only questionis when this will happen.As I read data protection case reports I often find myself thinking: “Thisis so petty.Didn’t this individual have something better to do with their timethan file a complaint with the regulator?”Reading further it becomes evidentthat the individual started with a problem or request, often quite a smallproblem or request, that may not even have concerned data protection.Butthey simply could not get any meaningful response from the organisation.Finally, in desperation and finding some kind of connection with dataprotection, they turned to the regulator to get some attention, to find someonewho would listen to them.Why go the extra mile with a complaints process?It may sound counter-intuitive, but a well-designed complaints process givesan organisation valuable input for improving:■■the way it collects, uses or discloses personal data about its clients andthe way it communicates with its clients.And in at least some jurisdictions an organisation fails to comply with thedata protection law unless it has a complaints process.Elements of a well-designed complaints processHere are some tips on designing an effective complaints process inconnection with the collection, use or disclosure of personal data.■Make it easy for individuals to complainLet individuals know how to complain to the organisation.For example,include on the organisation’s website a phone number or an email and/orpostal address and the job title of the employee who will help themresolve their complaint – the data protection officer (or their delegate) inthose jurisdictions that require an organisation to have a data protectionofficer.Include this information in or with the organisation’s privacy notice.Consider too the feasibility of letting individuals know what informationthe organisation will need so it can resolve their complaint.■Make sure employees know who handles complaintsLetting individuals know how to complain will not always work.Someof them will call the organisation’s switchboard number, write to its headoffice address, send an email to an “enquiries@…” address or submit anonline enquiry through “Contact Us” on its website.Or simply complainto the employee with whom they are interacting about the organisation’sgoods or services.Make sure that responsibility for regularly checking any“enquiries@…” or similar email address and any online enquiry formsregularly – at least daily – is assigned and do periodic complianceaudits.Make sure that employees checking these sources, answering thephone, opening the mail and dealing face-to-face with customers knowwho is responsible for handling complaints.And that they know to passcomplaints on to this employee without delay.It sounds obvious, right?We are amazed how often this simple step isoverlooked or forgotten, including as a result of employee turnover.■Acknowledge the complaint as soon as it is receivedIt is good practice to:•••acknowledge a complaint in writing as soon as the organisationreceives itask for any information that will obviously be needed in order toinvestigate the complaint andprovide information about when the organisation will respond to thecomplaint.Why?To reassure the complainant that the organisation has received theircomplaint and is taking it seriously; to manage their expectations aboutwhen they will receive a response; and to forestall them complaining tothe regulator.Then be sure to investigate and respond to the complaint as soon asreasonably possible and, of course, within any time period specified inthe data protection law.■Internal complaints investigation processThere is no “one size fits all” when it comes to devising andimplementing a complaints investigation process – it depends on the sizeand complexity of the organisation and the points at which it collects,uses or discloses personal data.For example, whether an organisationoperates from several different locations or from a single location andwhether it has a wide range of different categories of individuals thatprovide it with their personal data.The first common factor in all well-designed complaints investigationprocesses is that responsibility is clearly assigned:••to specific employees (usually by job title)to carry out specific tasks in the process.Each employee must clearly understand what is expected of them.This isparticularly important where the data protection law does not require anorganisation to appoint a data protection officer to take responsibility forthe organisation complying with it.The second common factor is that evidence must be collected andretained by the organisation of each step taken in the complaintsinvestigation process.In addition, at least where they are not obvious, thereasons for making decisions one way or another must be documented forfuture reference.In any regulatory investigation, the regulator willrequire evidence, preferably documentary evidence, about what theorganisation has or has not done and the reasons why.The third common factor is that the data protection officer – or, wherethere is no requirement for a data protection officer, the employee withresponsibility for handling data protection complaints – must havesufficient authority within the organisation, or have sufficient seniormanagement backing, to be able to ensure that each employee involved inthe investigation process plays their role efficiently, effectively and withintegrity.■Escalation of complaints internallyIn some instances, it may be rather obvious (or at least likely) where acomplaint is not resolved in favour of the complainant that “theorganisation has not heard the last about this”.Or that the complaint andresponse might, for example, “go viral” on social media.The data protection officer or other employee responsible forhandling complaints should be attuned to recognising these cases.Theyshould do at least two things before providing the complainant withnotice of the outcome of their complaint:••notify senior management about the complaint, the outcome ofinvestigating it and the risk of bad publicity so that there are “nosurprises” andensure that a public relations response by the organisation isprepared, at least on a “just in case” basis.■Informing the complainant of the outcome of their complaintIt goes without saying that the organisation must inform the individualabout the outcome of their complaint.Typically, if the complaint is resolved in favour of the complainantthere is no need to provide them with any written confirmation of thatoutcome unless they request it.••Otherwise, the organisation should:provide the complainant with written notice of the outcome, includingthe organisation’s reasons for that outcome andinform them of any third-party sources they can contact if they are notsatisfied with the outcome, including the regulator.■Internal analysis and reportingThe data protection officer or other employee who is responsible forhandling complaints should provide a written report periodically tosenior management about complaints received since the last such reportand any actions taken or planned to address their underlying causes.They should first analyse the complaints received and their outcomesto see if there is any pattern indicating action that the organisation shouldtake to reduce the number of complaints.For example, if there is a sudden increase in the number of complaintsabout the way a particular division or department of the organisation usespersonal data, the underlying cause should be investigated.It mayindicate that remedial training needs to be given to employees or thatthere is some other operational problem.If there is an increase in the number of complaints and the increaseties back to a new form or process introduced by the organisation to, say,collect personal data and most of the complaints are resolved in favourof the organisation it may mean that communication with customersshould be improved.CHECKLIST OF GOOD PRACTICESOrganisations with a proper and well-designed complaints process should:■■■■■■make it easy for individuals to complainmake sure that employees who may receive complaints know who handles themacknowledge the complaint in writing as soon as it is received by the employee who willhandle itensure that they have designed and implemented a complaints investigation processwhere each involved employee knows their role in ithave an escalation process to notify senior management of complaints that may attractadverse publicityinform the complainant of the outcome of their complaint and■ have an internal analysis and reporting regime so that complaints are brought to theattention of senior management and remedial action may be taken to reduce them.07",,," What does a data protection law generally give a regulator powers?
","[{'answerText': 'To send auditors or investigators out to visit organisations and check ontheir compliance with the law', 'questionText': ' What does a data protection law generally give a regulator powers?', 'distractors': ['To receive complaints from individuals about a possible failure to complywith the law', 'To receive complaints from individuals about a possible failure to complywith the law and then to investigate it', 'To send auditors out to visit organisations and check ontheir compliance with the law']}]",,,"[{'answer': 'data protection law', 'question': 'What gives a regulator powers to send auditors or investigators out to visit organisations and check on their compliance with the law?'}]","[{'answer': 'good', 'question': 'What is the name of the law that gives a regulator powers to send auditors out to visit organisations and check ontheir compliance with the law?'}]","['What does a data protection law generally give a regulator powers?', 'What is a “complaints-based enforcement model” for so long as the regulator elects not to adopt the more proactive – and resource-intensive – audit model?']"
46,46,What if your warehouse loses personal,,,,,[],,,,,['What is nan?']
47,47,data belonging to your organisation?,"Does your organisation outsource storage of archived files to a storagewarehouse vendor?What if you discover that the vendor has lost cartonsbelonging to your organisation?That happened to an organisation we heardabout.Let’s call it Company A.Apparently, Company A’s vendor – let’s call it Vendor X – decided toclose down.Vendor X told Company A that it was not renewing the lease forCompany A’s document storage.When Company A withdrew all its cartonsfrom Vendor X to place them with a newly appointed vendor, Vendor Xinformed Company A that a number of cartons had been lost.The cartonscontained all kinds of personal data – invoices, credit card transaction slips,insurance reports, and bank slips.What would you do if faced with this apparent breach of the dataprotection law – this apparent failure to protect the personal data in the lostcartons and a possible unauthorised disclosure of it as a consequence of theloss?Contract terms fiascoTo aggravate matters, Company A’s lease agreement with Vendor X wasunfavourable to Company A. Under a “limitation of liability” clauseCompany A had agreed that it would not hold Vendor X liable for any loss ordamage exceeding $10 per carton.In addition, it would not hold Vendor Xliable for any consequential loss or damage.We were surprised thatCompany A had agreed to these terms.With the limitation of liability, it was no wonder that Vendor X informedCompany A rather nonchalantly that the cartons were lost and offered to pay$10 per carton as compensation.Meanwhile Company A had a serious incident on its hands – a failure toprotect personal data under its control.Company A was accountable to boththe data protection regulator and its customers.To make matters worse,Company A had not made an inventory of the contents of each carton andtherefore did not have any idea which customers’ data were lost.To notify or not?In some jurisdictions1, there is a breach notification requirement – that is, itis compulsory for an organisation to notify the data protection regulator in theevent of a data breach.In others2 there is no such requirement, but theregulator typically encourages organisations to notify them in such an event –that is, there is a voluntary notification approach.It is seen as a goodpractice.A voluntary notification approach applied to Company A. The basicprinciple is to prevent further harm.When Company A asked us whether it should report the incident to theregulator, our recommendation was “not yet”.This was because Company Ahad not yet done a full investigation as it didn’t have all the facts.What ifCompany A informed the regulator that there had been a data breach and thenthe cartons showed up later?It would be embarrassing.We asked Company A to conduct a full investigation.We suggested itgive Vendor X two weeks to investigate and confirm if the cartons were:■■■■completely lost (that is, stolen) ormisplaced orgiven to the wrong customer of Vendor X ormistakenly trashed.With that information, Company A could decide whether the incident wouldbe reported to both the police and the data protection regulator.As it turnedout, Vendor X confirmed that the cartons were probably misplaced,prompting Company A to report the loss of personal data to the regulator.Vendor selection and monitoringThis incident demonstrates the need for due diligence and care when anorganisation outsources the management or storage of documents containingpersonal data.Storage warehouses may be particularly risky if not managedwell, including documents being forgotten as the years go by.Here are some tips to apply to any outsourcing contract:■■■Vet the vendor carefully prior to selection to ensure they practise propermanagement controls and practices, including data protection controlsand practices.Continue to monitor and audit their controls and practicesthrough the life of the contract.Ensure contract language is written to cover data protection and privacyfrom the perspective of both regulatory requirements and theconfidentiality expectations of customers.Conduct a risk assessment on each shortlisted vendor.Conduct a more in-depth assessment of the likely successful vendor.A risk assessmentshould include consideration of the vendor’s privacy and informationsecurity policies.It should also include the vendor’s controls over accessto personal data.In other words, an organisation should make sure that itknows and assesses where the personal information will be held alongwith who may have access to it.Vendor contractsAn organisation needs to ensure that every vendor contract is tailored to thefacts and circumstances of the service to be provided by the vendor to theorganisation.An organisation should never sign a standard form contract presented bya vendor without reading it, understanding its terms and the risks to theorganisation resulting from them, and either negotiating any necessaryamendments or consciously accepting the risk of not doing so.The contract should usually include at least the following requirements toprotect the organisation in connection with personal data under theorganisation’s control:■■■■■■■The type of personal data the vendor will have access to at remotelocationsHow the vendor must or must not use and/or disclose the personal dataHow the vendor will protect the personal dataThe vendor’s responsibilities in case of a data breachHow the data will be disposed of when the contract is terminated or, ifearlier, as and when the vendor no longer needs to retain the personaldata to perform its services under the contractThe organisation’s rights of audit and investigationAs between the organisation and the vendor, each party’s liability fordata breachCHECKLIST OF GOOD PRACTICESOrganisations should have the following practices in place when outsourcing the storage ofpaper documents containing personal data or other confidential information:■■■■Do the necessary due diligence and risk assessment of the vendor before outsourcing.Ensure proper contracts are in place, especially covering the vendor’s responsibilities toprotect the personal data.Audit or regularly monitor whether or not all paper documents that contain personal dataare properly secured.If you discover a data breach in connection with your outsourced document storage andassess the risk of misuse of data as low, conduct thorough investigations beforedeciding whether or not to notify the relevant authorities.12For example, Germany, Australia, Philippines, Korea, Taiwan and Mexico as well as theUnited States (where a majority of the states have breach notification laws).The GeneralData Protection Regulation (GDPR) in the European Union also requires notification to theregulator within 72 hours.Including Singapore, Malaysia and Hong Kong.SECTION B:",,," What did Vendor X inform Company A that it was not renewing the lease for document storage?
 Why did Company A not make an inventory of the contents of each carton?
 What is the basicprinciple of outsourcing?
","[{'answerText': 'A number of cartons had been lost', 'questionText': ' What did Vendor X inform Company A that it was not renewing the lease for document storage?', 'distractors': ['A number of cartons had been stolen']}, {'answerText': 'A failure to protect personal data under its control', 'questionText': ' Why did Company A not make an inventory of the contents of each carton?', 'distractors': ['A possible unauthorised disclosure of it', 'A breach notification requirement', 'A possible breach notification requirement']}, {'answerText': 'To prevent further harm', 'questionText': ' What is the basicprinciple of outsourcing?', 'distractors': ['To protect your personal data', 'To make an inventory of the contents']}]",,,"[{'answer': 'storagewarehouse vendor', 'question': 'Who does your organisation outsource storage of archived files to?'}, {'answer': 'limitation of liability', 'question': 'What clause did Company A agree to not hold Vendor X liable for any loss ordamage exceeding $10 per carton?'}]",,"['What is the name of the organization that outsources storage of archived files to a storagewarehouse vendor?', ""When did Vendor X announce that it was not renewing the lease forCompany A's document storage?"", 'What was the cost of the cartons?', 'Who was responsible to the data protection regulator?']"
48,48,Are your sales and service counters,,,,,[],,,,,['What is nan?']
49,49,compliant with the data protection law?,"I recently shopped at an electronics store and had cause for complaint underthe data protection law.When I was about to make the purchase, thesalesperson on duty asked:“Can I have your full name, contact number, address and identity cardnumber, please?”Why would a store ever need my identity card number when all I’m doingis buying a product?I replied:“Excuse me, why would you need my identity card number?”“Sorry,” came his reply. “We don’t need it.Just the other information willdo.”He gave me a scrap of paper to write the information down.I did so.Iwas curious to see how he would be using it.That was when I noticed thatall the other sales assistants on duty were doing the same thing: they wouldall use the paper as a reference when keying customer details into their POS(Point of Sale) system.This was presumably to ensure that the inputs wereaccurate.Watch out when you collect personal data on scraps of paperAfter the sales assistant keyed my details into the POS system he handed memy product and thanked me for patronising the store.While I was happy withthe purchase and the price I paid for it, I had a big issue with him and thestore.He left my personal data beside the POS input device.He hadforgotten about it.Anyone could see it.Not just the next salesperson, whichwould be bad enough, but the next customer too.I said to him, “Excuse me, can you please get rid of my personal data?”He looked at me, and hesitated.Obviously he was not trained ininformation security.At first, he wanted to crush the piece of paper andthrow it away.Then he paused and tore it up instead.Do not expose personal information of customers on your POS systemBecause of this little incident, I started looking around the store.I noticed that there was another piece of paper with a customer’spersonal data beside a computer nearby.And that the computer monitor wasdisplaying the order page of another customer.The sales assistant wasserving a woman a few metres away, oblivious that I was inspecting hisentries.I could see her full name, contact details, address and all theproducts she had bought.In fact, the computer terminal was in full view ofthe public.Anyone could go up to the computer and peek at customers’personal data.Do not pile invoices or receipts where they are within reach of the publicAs I made payment at the cashier counter, I found another disturbing sight.Behind the payment counters were piles of invoices and receipts ofcustomers left out in the open.There were also files containing purchaseorders, return receipts and other confidential information and personal data.The area was not restricted.Anyone could pick them up without beingnoticed and walk away.I felt uncomfortable seeing my information “dumped” into a tray after Ipaid for my purchase.I wondered if senior management of the organisationknew that the data protection law is in force.If so, there was no evidence thatits sales assistants had been trained in how to comply with it operationally.Iwondered if they knew that the organisation could get into trouble ifsomebody complained about their personal data being disclosed topassersby.Achieve operational compliance with the data protection law, not justlegal complianceThe protection obligation or principle under the data protection law requiresorganisations to make reasonable security arrangements to protect thepersonal data that they possess or control.This is to prevent unauthorisedaccess, collection, use, disclosure or similar risks.In the case of my retail experience, the organisation’s policies andpractices were likely not compliant with this obligation or principle.Personal data was not protected.There was leakage or exposure to thepublic.If your organisation has retail or service counters, is it compliantwith this obligation or principle?Often when I ask organisations if they are compliant with the dataprotection law the answer I get is that their lawyers have done the duediligence by reviewing their documents and that training has been conductedfor their staff.However, these measures will merely get you legal compliance.Butoperational compliance doesn’t necessarily follow.Operational compliancecan only be achieved if you have implemented information security policiesand practices, and embed them into the operational processes.Training your staff about “what” the data protection law is about isdifferent from training them “how” to comply with it.That includes enforcingyour information security policies.You should do an onsite data protection readiness audit of your entireoperations.You should ensure that your information security policy isamended accordingly.You should ensure that your organisation’s informationsecurity vulnerabilities are tackled.CHECKLIST OF GOOD PRACTICESIn complying with the data protection law, organisations should do the following:■■■■■■Ensure it achieves operational compliance with the data protection law, in addition tolegal compliance with it.Avoid using scraps of paper to record personal data so as to prevent unnecessaryleakage or exposure of personal data.Do not expose personal data of customers on your POS or computer systems.Do not place invoices or receipts of customers in open places that are within reach ofthe public.Conduct periodic onsite data protection audits to monitor continuing operationalcompliance.Identify any deficiencies or gaps and change processes and procedures toimprove operational compliance.Train your employees on the data protection law and your organisation’s policies andpractices.09",,," Why would a store ever need my identity card number?
 What did the sales assistant do?
","[{'answerText': 'When all i’m doingis buying a product', 'questionText': ' Why would a store ever need my identity card number?', 'distractors': ['When i buy a product', 'When i buy a new product']}, {'answerText': 'They wouldall use the paper as a reference when keying customer details into their pos system', 'questionText': ' What did the sales assistant do?', 'distractors': ['They wouldall use the paper as a reference when keying customer details into their POS system They wouldall use the paper as a reference when keying customer details into their POS system']}]",,,,,"['When did I shopped at an electronics store?', 'What did the sales assistant key my details into the POS system?', 'When did he key his details into POS systems?', 'Where was the order page of another customer?']"
50,50,Common mistakes of voluntary welfare,,,,,[],,,,,['What is nan?']
